Unnamed: 0,STATE,DISTRICT,LAT,LON,SITE_TYPE,WLCODE,May 1996,Aug 1996,Nov 1996,Jan 1997,May 1997,Aug 1997,Nov 1997,Jan 1998,May 1998,Aug 1998,Nov 1998,Jan 1999,May 1999,Aug 1999,Nov 1999,Jan 2000,May 2000,Aug 2000,Nov 2000,Jan 2001,May 2001,Aug 2001,Nov 2001,Jan 2002,May 2002,Aug 2002,Nov 2002,Jan 2003,May 2003,Aug 2003,Nov 2003,Jan 2004,May 2004,Aug 2004,Nov 2004,Jan 2005,May 2005,Aug 2005,Nov 2005,Jan 2006,May 2006,Aug 2006,Nov 2006,Jan 2007,May 2007,Aug 2007,Nov 2007,Jan 2008,May 2008,Aug 2008,Nov 2008,Jan 2009,May 2009,Aug 2009,Nov 2009,Jan 2010,May 2010,Aug 2010,Nov 2010,Jan 2011,May 2011,Aug 2011,Nov 2011,Jan 2012,May 2012,Aug 2012,Nov 2012,Jan 2013,May 2013,Aug 2013,Nov 2013,Jan 2014,May 2014,Aug 2014,Nov 2014,Jan 2015,May 2015,Aug 2015,Nov 2015,Jan 2016,May 2016,Aug 2016,Nov 2016,Jan 2017
1615,BR,Araria,26.28888889,87.25194444,Dug Well,W29530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,3.55,2.76,3.94,4.6,2.45,2.98,3.21,3.85,1.15,2.7,
1616,BR,Araria,26.2575,87.23111111,Dug Well,W29522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,2.97,1.9,2.84,3.95,1.32,2.39,2.6,2.76,1.5,1.95,3.09
1617,BR,Araria,26.32277778,87.23194444,Dug Well,W29540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,1.91,1.76,,2.79,2.65,1.8,2.18,4.1,1.15,2.09,2.2,,2.01,2.66,3.01
1618,BR,Araria,26.0525,87.15027778,Dug Well,W31757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,3.22,1.38,2.08,3.0
1619,BR,Araria,26.34944444,87.23138889,Dug Well,W29547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,2.46,2.99,,4.14,3.27,3.03,3.49,4.7,2.74,3.36,3.53,3.98,2.0,2.93,3.63
1620,BR,Araria,26.25194444,87.56888889,Dug Well,W31768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,2.23,1.1,,2.4
1621,BR,Araria,26.1375,87.42916667,Dug Well,W12487,4.7,3.26,3.41,4.44,4.92,2.81,3.92,4.23,4.4,,3.71,4.18,4.48,2.48,3.85,4.04,4.0,2.86,4.1,4.16,4.05,1.56,3.42,,4.47,2.5,3.79,2.6,4.34,2.7,,2.3,3.83,1.97,,4.15,4.56,2.56,3.79,,4.34,,1.45,3.79,4.35,,3.84,3.3,3.9,,2.94,,4.95,2.05,3.6,,3.95,2.05,3.12,3.9,4.23,2.42,3.3,3.68,4.54,,3.6,4.03,4.5,2.46,3.84,5.91,4.58,3.02,3.33,4.87,5.1,2.8,3.68,3.91,4.6,,3.28,
1622,BR,Araria,26.3375,87.25,Dug Well,W12540,2.86,1.44,1.51,2.58,,,,,1.73,,1.29,,2.14,1.26,2.25,1.72,1.75,,,2.48,,,,,2.26,0.9,1.37,1.1,1.83,1.0,1.06,1.5,2.5,1.09,1.75,1.75,2.1,1.53,,2.05,,,2.5,,2.9,,,2.55,,,2.09,,,,,2.4,3.35,,,,3.4,,,,,,,,4.45,,1.37,4.56,,,,3.09,5.73,,,,5.73,1.4,2.45,
1623,BR,Araria,26.06944444,87.23388889,Dug Well,W31759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,4.5,1.4,2.28,3.38
1624,BR,Araria,26.14583333,87.65416667,Dug Well,W29496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,,2.82,1.3,,3.2,3.37,2.12,1.71,,1.36,1.23,2.3,3.08,2.97,1.0,2.25,2.52
1625,BR,Araria,26.33,87.15777778,Dug Well,W12724,,,,,,,,,,,,,,,,,3.4,1.52,,2.95,,1.63,,,,,,,,1.45,,1.55,,,,,,,,2.7,,,2.0,,2.8,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,BR,Araria,26.14583333,87.65416667,Dug Well,W12590,2.67,1.12,1.18,2.39,,,,,,,1.18,,,,,1.66,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,BR,Arwal,25.25416667,84.67916667,Dug Well,W21167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,,4.78,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,2.94,,,,2.88,,
1644,BR,Arwal,25.12916667,84.82083333,Dug Well,W17742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,3.35,3.57,3.63,2.51,1.34,1.45,2.6,3.65,0.98,0.55,2.01,5.3,0.7,3.75,2.3,,2.92,2.73,,4.04,3.78,3.9,3.25,4.58,3.15,2.0,3.9,3.73,,1.43,2.24,3.57,3.45,,,3.3,4.4,2.77,2.26,3.46,2.1,2.76,2.48,3.97,0.68,,
1645,BR,Arwal,25.19027778,84.60444444,Dug Well,W29164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,2.48,3.32,,5.33,,,5.1
1646,BR,Arwal,25.29416667,84.70277778,Dug Well,W29219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,2.26,3.46,,,4.04,,3.79,4.1,3.23,3.52,,,,,6.13
